Scripps ID,SDCVC ID,Species,Sample type,% Coverage,Average Coverage,Collection date,Country,State,County,Latitude,Longitude,Sequencing Status,Consensus Name
W001,208-0677,American Crow,Tissue,100,888.138,2007-10-02,USA,CA,San Diego,32.846,-116.93,coding-complete,W001_2007-10-02_USA_CA_SanDiego_-116.930_32.846.fasta
W002,208-0953,American Crow,Tissue,100,4697.12,2007-10-02,USA,CA,San Diego,32.786,-116.95,coding-complete,W002_2007-10-02_USA_CA_SanDiego_-116.950_32.786.fasta
W003,209-0632,American Crow,Tissue,100,2672.04,2008-08-18,USA,CA,San Diego,32.784,-116.97,coding-complete,W003_2008-08-18_USA_CA_SanDiego_-116.970_32.784.fasta
W004,209-2652,American Crow,Tissue,100,804.511,2009-05-13,USA,CA,San Diego,32.904,-117.243,coding-complete,W004_2009-05-13_USA_CA_SanDiego_-117.243_32.904.fasta
W005,W12-0618,American Crow,Tissue,100,2785.81,2012-10-29,USA,CA,San Diego,32.828,-117.258,coding-complete,W005_2012-10-29_USA_CA_SanDiego_-117.258_32.828.fasta
W006,W13-0060,American Crow,Tissue,100,472.995,2013-07-10,USA,CA,San Diego,32.885,-116.946,coding-complete,W006_2013-07-10_USA_CA_SanDiego_-116.946_32.885.fasta
W007,W13-0064,American Crow,Tissue,100,606.326,2013-07-23,USA,CA,San Diego,33.081,-117.247,coding-complete,W007_2013-07-23_USA_CA_SanDiego_-117.247_33.081.fasta
W008,W14-0111,American Crow,Tissue,100,3281.47,2014-10-07,USA,CA,San Diego,32.677,-117.071,coding-complete,W008_2014-10-07_USA_CA_SanDiego_-117.071_32.677.fasta
W009,15-B-0414-B,American Crow,Tissue,100,4176.46,2015-10-02,USA,CA,San Diego,32.827,-117.142,coding-complete,W009_2015-10-02_USA_CA_SanDiego_-117.142_32.827.fasta
W010,16-B-0935-B,American Crow,Tissue,100,587.186,2016-08-15,USA,CA,San Diego,32.631,-117.073,coding-complete,W010_2016-08-15_USA_CA_SanDiego_-117.073_32.631.fasta
W011,209-1616 T,Sharp-shinned hawk,Tissue,100,292.286,2008-12-08,USA,CA,San Diego,33.016,-116.802,coding-complete,W011_2008-12-08_USA_CA_SanDiego_-116.802_33.016.fasta
